timestamp,open,high,low,close,volume,bid_volume,ask_volume,delta
1764309420000,91623.7,91632.4,91573.2,91576.6,142.972,"[66.94300000000005, 1.9999999999999984, 17.677000000000007, 4.655999999999999, 11.197000000000003]","[26.49, 0.161, 3.5369999999999995, 0.063, 10.243999999999998]",-61.97800000000007
1764309600000,91576.7,91576.7,91453.1,91471.2,229.214,"[28.87000000000004, 34.00100000000001, 56.263000000000154, 20.929000000000002, 15.786999999999997]","[20.501999999999992, 9.385, 28.89599999999998, 4.565999999999996, 1.115]",-91.38600000000025
1764309780000,91471.1,91485.0,91365.6,91396.9,264.052,"[43.457000000000036, 34.286, 18.135, 51.259000000000114, 31.913999999999962]","[12.842000000000018, 20.177000000000003, 11.900000000000006, 30.531999999999957, 9.536999999999988]",-94.06300000000016
1764309960000,91397.0,91480.5,91396.9,91438.7,142.395,"[3.1629999999999994, 9.537999999999995, 20.12099999999998, 6.736999999999993, 23.039999999999967]","[16.069, 31.828000000000003, 20.180999999999987, 4.648999999999996, 7.063999999999999]",17.19200000000005
1764310140000,91438.7,91442.3,91410.1,91416.2,72.98,"[13.003999999999998, 8.854000000000008, 5.463999999999997, 10.006, 8.835000000000003]","[8.725000000000001, 8.504, 2.4249999999999994, 4.196999999999998, 2.9659999999999984]",-19.346000000000007
1764310320000,91416.2,91416.2,91343.2,91356.6,166.102,"[26.07000000000001, 25.57799999999999, 4.4409999999999945, 35.15600000000006, 16.040000000000013]","[13.896000000000022, 11.028000000000004, 1.9119999999999997, 20.437, 11.544000000000004]",-48.46800000000005
1764310500000,91356.6,91403.5,91346.4,91391.3,109.754,"[11.978000000000003, 9.252999999999991, 6.808999999999996, 4.713999999999997, 15.175000000000008]","[13.356000000000009, 14.851000000000012, 8.682, 11.398000000000001, 13.538000000000006]",13.89600000000003
1764310680000,91391.4,91391.4,91329.1,91329.8,103.234,"[33.481999999999985, 14.45000000000001, 11.827999999999994, 4.903999999999998, 8.986000000000004]","[7.542999999999995, 10.161999999999995, 11.453, 0, 0.424]",-44.068
1764310860000,91329.9,91330.0,91298.4,91298.4,152.16,"[27.342, 12.307999999999995, 20.846999999999984, 23.186, 33.20299999999999]","[7.547999999999997, 3.179999999999998, 6.314999999999997, 12.089000000000016, 6.141999999999995]",-81.61199999999995
1764311040000,91298.5,91338.5,91293.0,91338.4,117.253,"[22.647, 12.477000000000006, 0.039, 1.704, 7.862999999999995]","[40.40700000000003, 5.461999999999998, 1.1089999999999995, 9.215000000000003, 16.33]",27.793000000000028
1764311220000,91338.4,91338.5,91265.2,91267.1,182.43,"[37.999000000000024, 42.36700000000003, 27.562000000000005, 4.559999999999999, 8.889999999999999]","[23.03500000000001, 30.524999999999995, 3.6339999999999977, 0.525, 0.779]",-62.88000000000005
1764311400000,91267.1,91307.5,91250.0,91299.1,200.062,"[20.279000000000003, 20.5, 4.595, 38.508999999999986, 20.507000000000012]","[28.209000000000003, 15.508000000000008, 3.466999999999998, 30.49900000000001, 17.98900000000002]",-8.717999999999947
1764311580000,91299.1,91299.2,91152.8,91162.4,326.463,"[51.31999999999997, 72.44500000000015, 30.736999999999988, 90.63799999999988, 10.886000000000019]","[18.130000000000003, 13.868000000000022, 10.612000000000009, 25.367999999999974, 2.1509999999999994]",-185.897
1764311760000,91162.4,91194.9,91117.1,91190.3,170.944,"[12.808000000000002, 18.71900000000002, 37.194000000000024, 3.0849999999999995, 4.455999999999999]","[6.337999999999998, 26.464000000000024, 42.787000000000084, 6.766999999999997, 12.325999999999992]",18.42000000000006
1764311940000,91190.4,91367.5,91187.0,91340.1,283.231,"[9.594000000000001, 4.189999999999999, 12.842000000000004, 4.932999999999996, 57.37500000000018]","[14.035000000000027, 27.82499999999999, 23.926, 45.224000000000004, 80.26100000000015]",102.337
1764312120000,91340.0,91412.9,91340.0,91369.5,153.728,"[2.1409999999999996, 8.318000000000001, 12.292000000000012, 10.440999999999999, 29.318999999999946]","[5.1189999999999936, 25.48399999999999, 13.913000000000011, 6.790999999999995, 38.68500000000005]",27.481000000000094
1764312300000,91369.5,91394.7,91320.9,91341.0,75.911,"[4.197999999999994, 11.163000000000004, 6.394999999999995, 9.449999999999996, 8.428999999999997]","[5.354999999999996, 9.099999999999996, 2.9399999999999995, 12.594999999999995, 6.285999999999996]",-3.3590000000000018
1764312480000,91341.0,91361.1,91337.8,91345.1,48.011,"[5.478999999999998, 1.84, 3.4709999999999983, 9.334000000000005, 2.761999999999998]","[5.880999999999996, 1.5839999999999996, 10.670999999999996, 5.311999999999998, 1.6769999999999996]",2.23899999999999
